lon,lat,pop,name
7.436249971,43.75375001,2461,
7.427916638,43.74541668,8180,La Rousse
7.436249971,43.74541668,5722,Larvotto
7.419583304,43.73708335,13272,Saint-Michel
7.427916638,43.73708335,3573,Monte-Carlo
7.419583304,43.72875001,5192,Fontvielle
7.427916638,43.72875001,582,
7.419583304,43.72041668,262,
