Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Australia,AUS,1952,2.98,17.29
Australia,AUS,1953,3.73,18.27
Australia,AUS,1954,2.98,19.13
Australia,AUS,1955,2.96,20.7
Australia,AUS,1956,3.47,22.12
Australia,AUS,1957,3.2,24.06
Australia,AUS,1958,3.24,23.91
Australia,AUS,1959,3.31,26.27
Australia,AUS,1960,3.44,27.19
Australia,AUS,1961,3.58,29.81
Australia,AUS,1962,3.83,31.77
Australia,AUS,1963,3.86,32.78
Australia,AUS,1964,4.28,34.74
Australia,AUS,1965,4.19,35.1
Australia,AUS,1966,4.46,37.4
Australia,AUS,1967,5.09,38.72
Australia,AUS,1968,5.04,39.97
Australia,AUS,1969,4.96,41.26
Australia,AUS,1970,6.42,42.12
Australia,AUS,1971,6.76,43.61
Australia,AUS,1972,6.37,43.99
Australia,AUS,1973,7.05,44.92
Australia,AUS,1974,6.83,47.21
Australia,AUS,1975,7.22,47.37
Australia,AUS,1976,7.97,48.5
Australia,AUS,1977,9.08,46.96
Australia,AUS,1978,9.09,47.16
Australia,AUS,1979,9.42,47.38
Australia,AUS,1980,9.7,49.45
Australia,AUS,1981,9.56,49.09
Australia,AUS,1982,10.56,49.15
Australia,AUS,1983,11.44,48.59
Australia,AUS,1984,11.32,48.56
Australia,AUS,1985,11.5,47.98
Australia,AUS,1986,11.99,45.99
Australia,AUS,1987,11.41,46.27
Australia,AUS,1988,12.86,45.68
Australia,AUS,1989,13.21,45.55
Australia,AUS,1990,12.72,41.64
Australia,AUS,1991,13.6,41.18
Australia,AUS,1992,12.88,41.17
Australia,AUS,1993,13.33,38.96
Australia,AUS,1994,13.6,40.36
Australia,AUS,1995,13.58,37.4
Australia,AUS,1996,13.73,37.2
Australia,AUS,1997,13.66,35.21
Australia,AUS,1998,13.12,34.87
Australia,AUS,1999,13.1,33.19
Australia,AUS,2000,13.87,31.76
Australia,AUS,2001,13.9,31.29
Australia,AUS,2002,14.31,30.4
Austria,AUT,1955,5.07,43.01
Austria,AUT,1956,6.31,45.84
Austria,AUT,1957,6.14,47.55
Austria,AUT,1958,6.45,47.69
Austria,AUT,1959,6.35,47.51
Austria,AUT,1960,5.31,49.86
Austria,AUT,1961,5.61,51.26
Austria,AUT,1962,6.14,49.25
Austria,AUT,1963,5.98,52.01
Austria,AUT,1964,5.74,48.87
Austria,AUT,1965,5.9,52.46
Austria,AUT,1966,6.29,51.25
Austria,AUT,1967,6.11,51.51
Austria,AUT,1968,6.46,53.14
Austria,AUT,1969,6.23,51.51
Austria,AUT,1970,5.77,50.46
Austria,AUT,1971,6.61,50.05
Austria,AUT,1972,6.34,51.47
Austria,AUT,1973,6.5,52.2
Austria,AUT,1974,6.88,50.77
Austria,AUT,1975,6.84,50.8
Austria,AUT,1976,6.58,50.42
Austria,AUT,1977,6.63,50.73
Austria,AUT,1978,6.94,48.69
Austria,AUT,1979,7.02,50.59
Austria,AUT,1980,7.25,49.91
Austria,AUT,1981,7.36,48.43
Austria,AUT,1982,8.18,47
Austria,AUT,1983,7.87,48.28
Austria,AUT,1984,8.83,50.06
Austria,AUT,1985,7.94,47.46
Austria,AUT,1986,8.16,46.94
Austria,AUT,1987,9.14,46.44
Austria,AUT,1988,9.35,45.6
Austria,AUT,1989,8.55,45.74
Austria,AUT,1990,8.72,45.46
Austria,AUT,1991,9.64,45.8
Austria,AUT,1992,9.35,43.75
Austria,AUT,1993,9.58,45.23
Austria,AUT,1994,10.23,41.7
Austria,AUT,1995,9.61,40.8
Austria,AUT,1996,10.43,40.81
Austria,AUT,1997,10.81,39.37
Austria,AUT,1998,10.75,39.48
Austria,AUT,1999,10.87,37.2
Austria,AUT,2000,11.54,36.41
Austria,AUT,2001,10.67,35.15
Austria,AUT,2002,11.77,35.92
Azerbaijan,AZE,1981,4.5,35.62
Azerbaijan,AZE,1982,5.48,34.63
Azerbaijan,AZE,1985,4.41,32.43
Azerbaijan,AZE,1986,4.86,36.57
Azerbaijan,AZE,1987,5.64,38.51
Azerbaijan,AZE,1988,5.51,35.65
Azerbaijan,AZE,1989,4.83,32.97
Azerbaijan,AZE,1990,4.52,26.42
Azerbaijan,AZE,1991,4.87,28.04
Azerbaijan,AZE,1992,4.94,29.27
Azerbaijan,AZE,1993,4.42,26.13
Azerbaijan,AZE,1994,4.62,22.4
Azerbaijan,AZE,1995,3.34,21.25
Azerbaijan,AZE,1996,3.86,22.2
Azerbaijan,AZE,1997,3.87,22.35
Azerbaijan,AZE,1998,3.45,20.44
Azerbaijan,AZE,1999,3.96,21.34
Azerbaijan,AZE,2000,3.83,20.24
Azerbaijan,AZE,2001,4.05,21.35
Azerbaijan,AZE,2002,4.63,21.83
Bahamas,BHS,2002,4.8,19.7
Bahrain,BHR,2002,12.4,28.6
Bangladesh,BGD,2002,3.3,20.8
Barbados,BRB,2002,3,14.4
Belarus,BLR,1981,3.79,37.21
Belarus,BLR,1982,3.76,40.02
Belarus,BLR,1985,4.29,47.85
Belarus,BLR,1986,4.29,48.38
Belarus,BLR,1987,5.02,51.12
Belarus,BLR,1988,4.45,52.3
Belarus,BLR,1989,4.57,56.72
Belarus,BLR,1990,4.53,56.16
Belarus,BLR,1991,5.06,56.72
Belarus,BLR,1992,5.1,60.33
Belarus,BLR,1993,4.87,61.28
Belarus,BLR,1994,4.32,60.51
Belarus,BLR,1995,4.32,61.17
Belarus,BLR,1997,4.55,60.24
Belarus,BLR,1998,4.19,58.64
Belarus,BLR,1999,3.64,57.4
Belarus,BLR,2000,3.8,56.05
Belarus,BLR,2001,3.72,55.51
Belarus,BLR,2002,3.67,55.31
Belgium,BEL,2002,10.1,69.9
Belgium,BEL,1954,,26.63
Belgium,BEL,1955,,27.37
